id,isAnchor,x,y,z
0x6744,1,0,0,930
0x674c,1,4000,0,930
0x672a,1,8000,0,930
0x675b,1,12000,0,930
0x6e45,1,12000,3100,930
0x6743,1,8000,3100,930
0x6757,1,4000,3100,930
0x6e04,1,0,3100,930
